# Port sweep results, Z0 = 50.0 Ohm
# step  frequency    Re(Z)    Im(Z)    SWR
     0     2.5e+08   38.767517  -121.852668       9.621
     1     2.6e+08   43.895262  -97.077209       6.148
     2     2.7e+08   49.688086  -72.641564       3.865
     3     2.8e+08   56.250142  -48.397747       2.436
     4     2.9e+08   63.705662  -24.210113       1.629
     5       3e+08   72.203395    0.045661       1.444
     6     3.1e+08   81.922096   24.482338       1.856
     7     3.2e+08   93.077316   49.199320       2.522
     8     3.3e+08  105.929742   74.278744       3.332
     9     3.4e+08  120.795329   99.778667       4.242
    10     3.5e+08  138.057415  125.722024       5.222
