# Port sweep results, Z0 = 50.0 Ohm
# step  frequency    Re(Z)    Im(Z)    SWR
     0     2.8e+08   28.988084  -49.614017       3.735
     1    2.81e+08   30.746880  -46.074194       3.321
     2    2.82e+08   32.668446  -42.723620       2.964
     3    2.83e+08   34.727387  -39.596053       2.662
     4    2.84e+08   36.891323  -36.721583       2.409
     5    2.85e+08   39.121539  -34.125234       2.202
     6    2.86e+08   41.373876  -31.825724       2.034
     7    2.87e+08   43.599817  -29.834413       1.901
     8    2.88e+08   45.747731  -28.154434       1.798
     9    2.89e+08   47.764242  -26.780003       1.721
    10     2.9e+08   49.595727  -25.695907       1.666
    11    2.91e+08   51.189959  -24.877176       1.628
    12    2.92e+08   52.497916  -24.289004       1.603
    13    2.93e+08   53.475741  -23.886988       1.588
    14    2.94e+08   54.086806  -23.617785       1.579
    15    2.95e+08   54.303791  -23.420288       1.573
    16    2.96e+08   54.110597  -23.227387       1.568
    17    2.97e+08   53.503899  -22.968316       1.561
    18    2.98e+08   52.494099  -22.571491       1.552
    19    2.99e+08   51.105503  -21.967657       1.540
    20       3e+08   49.375588  -21.093060       1.524
    21    3.01e+08   47.353369  -19.892322       1.506
    22    3.02e+08   45.096995  -18.320696       1.487
    23    3.03e+08   42.670840  -16.345463       1.470
    24    3.04e+08   40.142409  -13.946322       1.461
    25    3.05e+08   37.579440  -11.114767       1.465
    26    3.06e+08   35.047532   -7.852566       1.493
    27    3.07e+08   32.608587   -4.169522       1.552
    28    3.08e+08   30.320263   -0.080746       1.649
    29    3.09e+08   28.236655    4.396391       1.791
    30     3.1e+08   26.410454    9.245498       1.981
    31    3.11e+08   24.897077   14.454613       2.225
    32    3.12e+08   23.761864   20.019943       2.520
    33    3.13e+08   23.092687   25.950073       2.861
    34    3.14e+08   23.023334   32.270421       3.227
    35    3.15e+08   23.780346   39.025763       3.580
    36    3.16e+08   25.785453   46.269203       3.856
    37    3.17e+08   29.900239   53.980210       3.967
    38    3.18e+08   38.039865   61.608067       3.808
    39    3.19e+08   54.318811   65.488674       3.281
    40     3.2e+08   78.584368   47.514226       2.359
