X;Z;EXM;EZM;;;X;Z;EXM;EZM
-5;-5;0.0601275;0.0200454;;;-5;-5;4.10E-02;4.09E-02
-4.75;-5;0.0631277;0.0206643;;;-4.75;-5;4.45E-02;4.22E-02
-4.5;-5;0.0663272;0.0212453;;;-4.5;-5;4.83E-02;4.34E-02
-4.25;-5;0.0697311;0.021772;;;-4.25;-5;5.24E-02;4.45E-02
-4;-5;0.0733412;0.0222247;;;-4;-5;5.68E-02;4.54E-02
-3.75;-5;0.0771542;0.022581;;;-3.75;-5;6.15E-02;4.61E-02
-3.5;-5;0.0811614;0.0228147;;;-3.5;-5;6.66E-02;4.66E-02
-3.25;-5;0.0853459;0.0228971;;;-3.25;-5;7.20E-02;4.67E-02
-3;-5;0.089682;0.0227967;;;-3;-5;7.76E-02;4.65E-02
-2.75;-5;0.0941328;0.0224808;;;-2.75;-5;8.35E-02;4.59E-02
-2.5;-5;0.0986489;0.0219163;;;-2.5;-5;8.95E-02;4.47E-02
-2.25;-5;0.103168;0.0210721;;;-2.25;-5;9.56E-02;4.30E-02
-2;-5;0.107613;0.0199213;;;-2;-5;1.02E-01;4.07E-02
-1.75;-5;0.111895;0.0184442;;;-1.75;-5;1.08E-01;3.76E-02
-1.5;-5;0.115916;0.0166314;;;-1.5;-5;1.13E-01;3.39E-02
-1.25;-5;0.119567;0.0144862;;;-1.25;-5;1.18E-01;2.96E-02
-1;-5;0.122743;0.0120275;;;-1;-5;1.23E-01;2.45E-02
-0.75;-5;0.125338;0.0092909;;;-0.75;-5;1.26E-01;1.90E-02
-0.5;-5;0.127265;0.00632812;;;-0.5;-5;1.29E-01;1.29E-02
-0.25;-5;0.128451;0.00320547;;;-0.25;-5;1.31E-01;6.54E-03
0;-5;0.128851;1.6824E-17;;;0;-5;1.31E-01;1.64E-11
0.25;-5;0.128451;0.00320547;;;0.25;-5;1.31E-01;6.54E-03
0.5;-5;0.127265;0.00632812;;;0.5;-5;1.29E-01;1.29E-02
0.75;-5;0.125338;0.0092909;;;0.75;-5;1.26E-01;1.90E-02
1;-5;0.122743;0.0120275;;;1;-5;1.23E-01;2.45E-02
1.25;-5;0.119567;0.0144862;;;1.25;-5;1.18E-01;2.96E-02
1.5;-5;0.115916;0.0166314;;;1.5;-5;1.13E-01;3.39E-02
1.75;-5;0.111895;0.0184442;;;1.75;-5;1.08E-01;3.76E-02
2;-5;0.107613;0.0199213;;;2;-5;1.02E-01;4.07E-02
2.25;-5;0.103168;0.0210721;;;2.25;-5;9.56E-02;4.30E-02
2.5;-5;0.0986489;0.0219163;;;2.5;-5;8.95E-02;4.47E-02
2.75;-5;0.0941328;0.0224808;;;2.75;-5;8.35E-02;4.59E-02
3;-5;0.089682;0.0227967;;;3;-5;7.76E-02;4.65E-02
3.25;-5;0.0853459;0.0228971;;;3.25;-5;7.20E-02;4.67E-02
3.5;-5;0.0811614;0.0228147;;;3.5;-5;6.66E-02;4.66E-02
3.75;-5;0.0771542;0.022581;;;3.75;-5;6.15E-02;4.61E-02
4;-5;0.0733412;0.0222247;;;4;-5;5.68E-02;4.54E-02
4.25;-5;0.0697311;0.021772;;;4.25;-5;5.24E-02;4.45E-02
4.5;-5;0.0663272;0.0212453;;;4.5;-5;4.83E-02;4.34E-02
4.75;-5;0.0631277;0.0206643;;;4.75;-5;4.45E-02;4.22E-02
5;-5;0.0601275;0.0200454;;;5;-5;4.10E-02;4.09E-02
-5;-4.75;0.0601922;0.02039;;;-5;-4.75;3.96E-02;4.16E-02
-4.75;-4.75;0.0632985;0.021103;;;-4.75;-4.75;4.32E-02;4.31E-02
-4.5;-4.75;0.0666286;0.0217878;;;-4.5;-4.75;4.70E-02;4.45E-02
-4.25;-4.75;0.0701915;0.0224274;;;-4.25;-4.75;5.13E-02;4.58E-02
-4;-4.75;0.0739932;0.0230012;;;-4;-4.75;5.58E-02;4.70E-02
-3.75;-4.75;0.0780348;0.0234849;;;-3.75;-4.75;6.08E-02;4.79E-02
-3.5;-4.75;0.0823115;0.0238499;;;-3.5;-4.75;6.61E-02;4.87E-02
-3.25;-4.75;0.0868101;0.0240633;;;-3.25;-4.75;7.19E-02;4.91E-02
-3;-4.75;0.091507;0.0240888;;;-3;-4.75;7.79E-02;4.92E-02
-2.75;-4.75;0.096366;0.0238871;;;-2.75;-4.75;8.43E-02;4.88E-02
-2.5;-4.75;0.101336;0.0234176;;;-2.5;-4.75;9.09E-02;4.78E-02
-2.25;-4.75;0.106349;0.0226406;;;-2.25;-4.75;9.76E-02;4.62E-02
-2;-4.75;0.11132;0.0215202;;;-2;-4.75;1.04E-01;4.39E-02
-1.75;-4.75;0.116146;0.0200278;;;-1.75;-4.75;1.11E-01;4.09E-02
-1.5;-4.75;0.12071;0.0181464;;;-1.5;-4.75;1.17E-01;3.70E-02
-1.25;-4.75;0.124884;0.0158746;;;-1.25;-4.75;1.23E-01;3.24E-02
-1;-4.75;0.128535;0.0132298;;;-1;-4.75;1.28E-01;2.70E-02
-0.75;-4.75;0.131535;0.0102509;;;-0.75;-4.75;1.33E-01;2.09E-02
-0.5;-4.75;0.133771;0.00699778;;;-0.5;-4.75;1.36E-01;1.43E-02
-0.25;-4.75;0.135151;0.0035496;;;-0.25;-4.75;1.38E-01;7.24E-03
0;-4.75;0.135617;2.53621E-17;;;0;-4.75;1.38E-01;1.82E-11
0.25;-4.75;0.135151;0.0035496;;;0.25;-4.75;1.38E-01;7.24E-03
0.5;-4.75;0.133771;0.00699778;;;0.5;-4.75;1.36E-01;1.43E-02
0.75;-4.75;0.131535;0.0102509;;;0.75;-4.75;1.33E-01;2.09E-02
1;-4.75;0.128535;0.0132298;;;1;-4.75;1.28E-01;2.70E-02
1.25;-4.75;0.124884;0.0158746;;;1.25;-4.75;1.23E-01;3.24E-02
1.5;-4.75;0.12071;0.0181464;;;1.5;-4.75;1.17E-01;3.70E-02
1.75;-4.75;0.116146;0.0200278;;;1.75;-4.75;1.11E-01;4.09E-02
2;-4.75;0.11132;0.0215202;;;2;-4.75;1.04E-01;4.39E-02
2.25;-4.75;0.106349;0.0226406;;;2.25;-4.75;9.76E-02;4.62E-02
2.5;-4.75;0.101336;0.0234176;;;2.5;-4.75;9.09E-02;4.78E-02
2.75;-4.75;0.096366;0.0238871;;;2.75;-4.75;8.43E-02;4.88E-02
3;-4.75;0.091507;0.0240888;;;3;-4.75;7.79E-02;4.92E-02
3.25;-4.75;0.0868101;0.0240633;;;3.25;-4.75;7.19E-02;4.91E-02
3.5;-4.75;0.0823115;0.0238499;;;3.5;-4.75;6.61E-02;4.87E-02
3.75;-4.75;0.0780348;0.0234849;;;3.75;-4.75;6.08E-02;4.79E-02
4;-4.75;0.0739932;0.0230012;;;4;-4.75;5.58E-02;4.70E-02
4.25;-4.75;0.0701915;0.0224274;;;4.25;-4.75;5.13E-02;4.58E-02
4.5;-4.75;0.0666286;0.0217878;;;4.5;-4.75;4.70E-02;4.45E-02
4.75;-4.75;0.0632985;0.021103;;;4.75;-4.75;4.32E-02;4.31E-02
5;-4.75;0.0601922;0.02039;;;5;-4.75;3.96E-02;4.16E-02
-5;-4.5;0.0601632;0.0206721;;;-5;-4.5;3.81E-02;4.22E-02
-4.75;-4.5;0.0633683;0.0214836;;;-4.75;-4.5;4.17E-02;4.39E-02
-4.5;-4.5;0.0668228;0.0222786;;;-4.5;-4.5;4.56E-02;4.55E-02
-4.25;-4.5;0.0705405;0.0230403;;;-4.25;-4.5;4.99E-02;4.70E-02
-4;-4.5;0.0745323;0.0237476;;;-4;-4.5;5.46E-02;4.85E-02
-3.75;-4.5;0.0788052;0.0243745;;;-3.75;-4.5;5.98E-02;4.98E-02
-3.5;-4.5;0.0833597;0.0248899;;;-3.5;-4.5;6.54E-02;5.08E-02
-3.25;-4.5;0.0881877;0.0252574;;;-3.25;-4.5;7.15E-02;5.16E-02
-3;-4.5;0.0932699;0.0254351;;;-3;-4.5;7.80E-02;5.19E-02
-2.75;-4.5;0.0985725;0.0253765;;;-2.75;-4.5;8.48E-02;5.18E-02
-2.5;-4.5;0.104044;0.0250322;;;-2.5;-4.5;9.20E-02;5.11E-02
-2.25;-4.5;0.109612;0.0243519;;;-2.25;-4.5;9.95E-02;4.97E-02
-2;-4.5;0.115183;0.0232879;;;-2;-4.5;1.07E-01;4.75E-02
-1.75;-4.5;0.12064;0.0218003;;;-1.75;-4.5;1.14E-01;4.45E-02
-1.5;-4.5;0.125843;0.0198612;;;-1.5;-4.5;1.22E-01;4.05E-02
-1.25;-4.5;0.130638;0.0174616;;;-1.25;-4.5;1.28E-01;3.56E-02
-1;-4.5;0.134862;0.0146158;;;-1;-4.5;1.34E-01;2.98E-02
-0.75;-4.5;0.138353;0.011365;;;-0.75;-4.5;1.39E-01;2.32E-02
-0.5;-4.5;0.140966;0.00777876;;;-0.5;-4.5;1.43E-01;1.59E-02
-0.25;-4.5;0.142584;0.00395215;;;-0.25;-4.5;1.45E-01;8.06E-03
0;-4.5;0.143132;7.75887E-18;;;0;-4.5;1.46E-01;2.03E-11
0.25;-4.5;0.142584;0.00395215;;;0.25;-4.5;1.45E-01;8.06E-03
0.5;-4.5;0.140966;0.00777876;;;0.5;-4.5;1.43E-01;1.59E-02
0.75;-4.5;0.138353;0.011365;;;0.75;-4.5;1.39E-01;2.32E-02
1;-4.5;0.134862;0.0146158;;;1;-4.5;1.34E-01;2.98E-02
1.25;-4.5;0.130638;0.0174616;;;1.25;-4.5;1.28E-01;3.56E-02
1.5;-4.5;0.125843;0.0198612;;;1.5;-4.5;1.22E-01;4.05E-02
1.75;-4.5;0.12064;0.0218003;;;1.75;-4.5;1.14E-01;4.45E-02
2;-4.5;0.115183;0.0232879;;;2;-4.5;1.07E-01;4.75E-02
2.25;-4.5;0.109612;0.0243519;;;2.25;-4.5;9.95E-02;4.97E-02
2.5;-4.5;0.104044;0.0250322;;;2.5;-4.5;9.20E-02;5.11E-02
2.75;-4.5;0.0985725;0.0253765;;;2.75;-4.5;8.48E-02;5.18E-02
3;-4.5;0.0932699;0.0254351;;;3;-4.5;7.80E-02;5.19E-02
3.25;-4.5;0.0881877;0.0252574;;;3.25;-4.5;7.15E-02;5.16E-02
3.5;-4.5;0.0833597;0.0248899;;;3.5;-4.5;6.54E-02;5.08E-02
3.75;-4.5;0.0788052;0.0243745;;;3.75;-4.5;5.98E-02;4.98E-02
4;-4.5;0.0745323;0.0237476;;;4;-4.5;5.46E-02;4.85E-02
4.25;-4.5;0.0705405;0.0230403;;;4.25;-4.5;4.99E-02;4.70E-02
4.5;-4.5;0.0668228;0.0222786;;;4.5;-4.5;4.56E-02;4.55E-02
4.75;-4.5;0.0633683;0.0214836;;;4.75;-4.5;4.17E-02;4.39E-02
5;-4.5;0.0601632;0.0206721;;;5;-4.5;3.81E-02;4.22E-02
-5;-4.25;0.0600342;0.0208777;;;-5;-4.25;3.64E-02;4.26E-02
-4.75;-4.25;0.0633285;0.0217905;;;-4.75;-4.25;3.99E-02;4.45E-02
-4.5;-4.25;0.0668984;0.0227011;;;-4.5;-4.25;4.39E-02;4.64E-02
-4.25;-4.25;0.0707632;0.0235931;;;-4.25;-4.25;4.83E-02;4.82E-02
-4;-4.25;0.0749402;0.0244455;;;-4;-4.25;5.31E-02;4.99E-02
-3.75;-4.25;0.0794432;0.0252314;;;-3.75;-4.25;5.85E-02;5.15E-02
-3.5;-4.25;0.0842799;0.0259178;;;-3.5;-4.25;6.44E-02;5.29E-02
-3.25;-4.25;0.0894496;0.0264645;;;-3.25;-4.25;7.07E-02;5.40E-02
-3;-4.25;0.0949396;0.0268243;;;-3;-4.25;7.77E-02;5.48E-02
-2.75;-4.25;0.100721;0.0269428;;;-2.75;-4.25;8.51E-02;5.50E-02
-2.5;-4.25;0.106744;0.0267604;;;-2.5;-4.25;9.29E-02;5.46E-02
-2.25;-4.25;0.112934;0.026214;;;-2.25;-4.25;1.01E-01;5.35E-02
-2;-4.25;0.11919;0.0252414;;;-2;-4.25;1.10E-01;5.15E-02
-1.75;-4.25;0.125378;0.023787;;;-1.75;-4.25;1.18E-01;4.85E-02
-1.5;-4.25;0.131334;0.0218084;;;-1.5;-4.25;1.26E-01;4.45E-02
-1.25;-4.25;0.136873;0.0192844;;;-1.25;-4.25;1.34E-01;3.94E-02
-1;-4.25;0.141791;0.0162231;;;-1;-4.25;1.41E-01;3.31E-02
-0.75;-4.25;0.145884;0.0126673;;;-0.75;-4.25;1.46E-01;2.58E-02
-0.5;-4.25;0.148963;0.00869694;;;-0.5;-4.25;1.51E-01;1.77E-02
-0.25;-4.25;0.150878;0.00442709;;;-0.25;-4.25;1.54E-01;9.03E-03
0;-4.25;0.151527;3.07839E-17;;;0;-4.25;1.55E-01;2.28E-11
0.25;-4.25;0.150878;0.00442709;;;0.25;-4.25;1.54E-01;9.03E-03
0.5;-4.25;0.148963;0.00869694;;;0.5;-4.25;1.51E-01;1.77E-02
0.75;-4.25;0.145884;0.0126673;;;0.75;-4.25;1.46E-01;2.58E-02
1;-4.25;0.141791;0.0162231;;;1;-4.25;1.41E-01;3.31E-02
1.25;-4.25;0.136873;0.0192844;;;1.25;-4.25;1.34E-01;3.94E-02
1.5;-4.25;0.131334;0.0218084;;;1.5;-4.25;1.26E-01;4.45E-02
1.75;-4.25;0.125378;0.023787;;;1.75;-4.25;1.18E-01;4.85E-02
2;-4.25;0.11919;0.0252414;;;2;-4.25;1.10E-01;5.15E-02
